iter	RMSE
0	0.04622570207
1	0.04573765754
2	0.04529313697
3	0.04489095935
4	0.04452374919
5	0.04418184617
6	0.04387377263
7	0.04359443986
8	0.04334071143
9	0.04310370632
10	0.04289243309
11	0.04269257631
12	0.0425118289
13	0.04234779773
14	0.04219687136
15	0.04206024253
16	0.04193576429
17	0.04182299633
18	0.04172181652
19	0.04162585653
20	0.04153890664
21	0.04146051233
22	0.04138766162
23	0.04127240001
24	0.04115870162
25	0.04105522683
26	0.04094762871
27	0.0408642097
28	0.04077040088
29	0.04070019905
30	0.04062251225
31	0.04056266215
32	0.04050775837
33	0.0404383372
34	0.04039404894
35	0.04030149728
36	0.04022554823
37	0.04019640793
38	0.04016951203
39	0.04014297299
40	0.04007417882
41	0.04005368053
42	0.03999859276
43	0.03997928791
44	0.03992404974
45	0.03987316224
46	0.03983088192
47	0.03981660096
48	0.03978910139
49	0.03975719151
50	0.0397167937
51	0.03969602613
52	0.03967627401
53	0.03964524174
54	0.03962801119
55	0.0396114063
56	0.03958113029
57	0.03955990963
58	0.03952281715
59	0.03950887925
60	0.03948491006
61	0.03944865207
62	0.0394279217
63	0.039400309
64	0.0393432727
65	0.03932774959
66	0.03929194222
67	0.03928079963
68	0.03925412032
69	0.03922065093
70	0.03919952315
71	0.03916826927
72	0.03913864928
73	0.03910121239
74	0.0390955197
75	0.0390853192
76	0.03905339226
77	0.03904536274
78	0.03903261853
79	0.03902055987
80	0.03900956447
81	0.03899452325
82	0.03898428392
83	0.03895134148
84	0.03893651131
85	0.03891842022
86	0.03889070919
87	0.03888063043
88	0.03887647306
89	0.03886112583
90	0.03885267075
91	0.03883508921
92	0.03880940878
93	0.03877353038
94	0.03874050146
95	0.03871070685
96	0.03869880116
97	0.03869117223
98	0.0386625946
99	0.03865319165
100	0.03864262368
101	0.03861783405
102	0.03859350112
103	0.03856991492
104	0.03855069233
105	0.03854120227
106	0.03852239266
107	0.03851349404
108	0.03848419431
109	0.03846540677
110	0.03844559119
111	0.03843436488
112	0.03841356628
113	0.03839875484
114	0.03839466622
115	0.03837437039
116	0.03836047502
117	0.03834978298
118	0.03833349723
119	0.03832604731
120	0.03831606088
121	0.03830669791
122	0.03829217555
123	0.03827477267
124	0.0382612806
125	0.03825102794
126	0.03823487234
127	0.03822450747
128	0.0382175482
129	0.03820822229
130	0.03819414797
131	0.03818554428
132	0.03817857394
133	0.03817393384
134	0.03816962672
135	0.03816368903
136	0.038157525
137	0.03814390402
138	0.03813580863
139	0.03812751503
140	0.03812654465
141	0.03812236663
142	0.03811593135
143	0.03811120614
144	0.03810610842
145	0.03810184112
146	0.03809773716
147	0.03809539335
148	0.03809080214
149	0.03808330598
150	0.03807660605
151	0.03806979336
152	0.03806265118
153	0.03805807966
154	0.03804497529
155	0.03803992806
156	0.03803443405
157	0.0380323513
158	0.03802689955
159	0.03802169189
160	0.03801717117
161	0.03801170093
162	0.03800637745
163	0.0380032818
164	0.03799839538
165	0.03799218121
166	0.03798729517
167	0.03797556268
